University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Massachusetts Institute of Technology",50.7,49.8,48.9,8.7,8.3,8.9,9451.0,9208.0,9144.0,54983.0,123494.0,195143.0,2.18,2.38,2.58,27.2,30.6,32.6,51.6,54.3,55.6,5.8,13.4,21.3,9298.0,9273.0,8894.0,5.913422241342224,13.317588698371617,21.940971441421183,1.0164551516455151,0.9929904022430713,1.0281088374184844,239.0,1
"Stanford University",42.0,41.7,40.9,7.2,6.7,7.3,14677.0,14129.0,13602.0,89118.0,193959.0,289786.0,2.54,2.52,2.82,26.5,29.0,29.5,48.6,51.1,51.2,6.1,13.7,21.3,14423.0,13529.0,12821.0,6.178880954031754,14.336536329366545,22.602449106933935,1.0176107605907232,1.0443491758444823,1.0609156852039623,289.0,1
"Harvard University",46.1,44.5,43.7,5.8,5.6,5.7,31348.0,30920.0,30060.0,169151.0,377920.0,567756.0,2.19,2.34,2.4,24.4,28.2,29.3,45.7,48.5,50.0,5.4,12.2,18.9,30949.0,29999.0,29330.0,5.465475459627129,12.597753258441948,19.357517899761337,1.0128921774532296,1.0307010233674456,1.0248891919536312,340.0,1
"University of Oxford",60.7,58.9,57.8,6.4,6.1,6.2,14890.0,14487.0,13930.0,72619.0,154285.0,250542.0,2.09,2.25,2.49,23.3,25.3,27.2,46.1,48.2,47.8,4.9,10.6,18.0,12816.0,12484.0,12053.0,5.666276529338327,12.358619032361423,20.786692109848172,1.161828963795256,1.1604453700736943,1.1557288641831909,254.0,1
"California Institute of Technology",53.0,52.4,53.0,6.0,5.5,5.6,4866.0,4548.0,4540.0,30055.0,65026.0,101056.0,2.05,2.31,2.36,28.9,35.4,32.8,45.3,47.7,52.6,6.2,14.3,22.3,4616.0,4263.0,4108.0,6.511048526863085,15.25357729298616,24.599805258033108,1.0541594454072791,1.0668543279380718,1.1051606621226875,166.0,1
"Swiss Federal Institute of Technology Zurich",66.9,65.1,65.2,6.8,7.4,8.0,8265.0,7963.0,7713.0,42901.0,81551.0,127251.0,2.0,2.0,2.08,26.4,28.4,28.6,51.7,52.6,53.4,5.2,10.2,16.5,7623.0,7380.0,7046.0,5.627836809654991,11.050271002710026,18.06003406187908,1.0842188114915388,1.0789972899728997,1.0946636389440818,161.0,1
"University of Cambridge",62.3,59.3,59.7,6.6,6.8,7.2,11782.0,11422.0,11308.0,61925.0,130742.0,207876.0,2.0,2.2,2.3,24.5,27.0,28.8,47.2,50.1,50.5,5.3,11.4,18.4,10551.0,10238.0,9778.0,5.869111932518245,12.770267630396562,21.259562282675393,1.116671405553976,1.1156475874194178,1.156473716506443,220.0,1
"University College London",59.5,57.3,55.8,6.7,5.9,5.3,16080.0,15486.0,15058.0,81959.0,162701.0,245812.0,2.19,2.21,2.21,22.5,24.5,25.7,42.4,44.7,43.7,5.1,10.5,16.3,14141.0,13744.0,12946.0,5.795841878226434,11.83796565774156,18.987486482311137,1.1371190156283149,1.1267462165308497,1.1631391935733044,230.0,1
"Imperial College London",62.2,61.2,60.6,8.1,8.4,7.4,12293.0,12314.0,11652.0,64901.0,136960.0,207126.0,2.14,2.24,2.4,25.2,27.0,27.0,46.2,49.0,48.7,5.3,11.1,17.8,11223.0,10824.0,10723.0,5.782856633698654,12.653362897265337,19.31604961298144,1.0953399269357569,1.1376570583887657,1.086636202555255,223.0,1
"University of Chicago",42.7,40.7,41.6,5.0,4.4,5.3,8960.0,8835.0,8824.0,50478.0,102616.0,167099.0,2.09,2.11,2.29,25.3,26.6,28.2,47.7,50.9,51.0,5.6,11.6,18.9,8555.0,8508.0,8347.0,5.900409117475161,12.061118946873531,20.019048760033545,1.0473407364114553,1.0384344146685474,1.057146280100635,208.0,1
